image,category,prob,xmin,ymin,xmax,ymax
"data/dog.jpg",car,0.535752,0.594463,0.013639,0.876754,0.236545
"data/dog.jpg",truck,0.267533,0.594463,0.013639,0.876754,0.236545
"data/dog.jpg",bicycle,0.219332,0.066513,0.046493,0.348946,0.733312
"data/dog.jpg",cat,0.343869,0.151454,0.323426,0.417269,1.084232
"data/dog.jpg",dog,0.560437,0.151454,0.323426,0.417269,1.084232
"data/dog.jpg",bicycle,0.508064,0.128941,0.121427,0.725414,0.850291
"data/eagle.jpg",bird,0.894258,0.148122,0.000000,0.806733,1.092439
"data/giraffe.jpg",zebra,0.865375,0.599016,0.396502,0.836618,0.923452
"data/giraffe.jpg",giraffe,0.961418,0.355766,0.035059,0.836076,0.919632
"data/horses.jpg",horse,0.491489,0.008051,0.297611,0.197533,0.508615
"data/horses.jpg",horse,0.225342,0.000000,0.333158,0.125631,0.654795
"data/horses.jpg",horse,0.818881,0.550677,0.371048,0.769539,0.792676
"data/horses.jpg",horse,0.808719,0.287228,0.272888,0.592768,0.802707
"data/horses.jpg",horse,0.885219,0.000000,0.347080,0.414181,0.954486
"data/person.jpg",dog,0.748083,0.105851,0.666451,0.317916,1.001099
"data/person.jpg",person,0.857577,0.289472,0.087838,0.429202,1.080569
"data/person.jpg",horse,0.886907,0.631453,0.220983,0.946006,0.960141
"data/scream.jpg",person,0.338922,0.314712,0.480635,0.686307,1.005508
"data/scream.jpg",train,0.151057,0.000000,0.063096,1.117474,0.932750
